"Instructional Leadership Network by West 40 Professional Learning","Hillside, IL",TBD,"The West 40 Curriculum Leadership Network is a place where curriculum leaders from West 40 can link together to share ideas and best practices on all things curriculum related.",https://www.eventbrite.com/e/instructional-leadership-network-tickets-45062563340
"MLA Annual Convention"," Seattle, WA",1/9/20,"The 2020 convention will feature over 780 sessions on language, literature, writing, pedagogy, media studies, and much more.",https://www.mla.org/Convention/MLA-2019
"31st Ann Ferren Conference","Washington, DC",1/10/20,"This year’s program will feature a morning plenary, a luncheon keynote by Steve Brint, and 30 conference sessions.",https://www.american.edu/ctrl/conference.cfm?_ga=2.252598345.1794393878.1543856341-873907903.1543856341
"Future of Education Technology Conference"," Miami, FL",1/14/20 ,"This conference gathers the most dynamic and creative education professionals from around the world for an intensive, highly collaborative exploration of new technologies, best practices and pressing issues.",http://fetc.org/
"2020 Joint Mathematics Meetings","Denver, CO",1/15/20,"This meeting is a must-attend for anyone interested in learning about innovative mathematical research, advancing mathematical achievement, providing the communication and tools to progress in the field, encouraging mathematical research, and connecting with the mathematical community.",http://jointmathematicsmeetings.org/jmm
Bett,"London, UK",1/22/20,"Bett is the first industry show of the year in the education technology landscape, bringing together 850 leading companies, 103 exciting new edtech start ups and over 34,700 attendees (131 countries represented) from the global education community.",https://www.bettshow.com/
"Comprehensive Literacy and Reading Recovery Conference","Chicago, IL",1/22/20,"The conference is designed to provide superb professional development and networking opportunities for K-8 classroom teachers, intervention (Reading Recovery, Special Education, ESL) teachers, instructional coaches, program specialists, and administrators.",https://www.nl.edu/readingrecoveryconference/
"Shaping the Future of Higher Education: An Invitation to Lead","Washington, DC",1/22/20,"AAC&U’s 2020 Annual Meeting will showcase equitable, innovative, and cost-effective models for providing today's students with a string, relevant, and inclusive liberal education. ",https://www.aacu.org/AM20
"Educon 2020","Philadelphia, PA",1/24/20,"Educon is an innovation conference where we can come together, both in person and virtually, to discuss the future of schools.",http://2020.educon.org/
"Southern Conference on Children","Statesboro, GA",1/25/20,"The Southern Conference on Children continues to serve childcare providers, directors, teachers, and families by providing relevant, high-quality training on the important issues.",https://academics.georgiasouthern.edu/ce/conferences/scoc/
"Opening Minds Conference","Chicago, IL",1/29/20,"The Opening Minds Conference is the only event in the nation where people of all professions educating or caring for young children gather to learn, side-by-side, together.",https://www.openingmindsusa.org/opening-minds-2020-program-preview/
"Heads Conference","Chicago, IL",1/30/20,"This conference is an annual exploration of school leadership, organized by the independent schools association of the central states (ISACS).",https://www.isacs.org/professionaldevelopment/headsconference
"Learn Launch Across Boundaries Conference","Boston, MA",1/30/20,"The LearnLaunch Across Boundaries conference brings together a community interested in driving innovation to transform learning and increase achievement using digital technologies. ",http://learnlaunch.org/
"LEAD DC","Washington, DC",1/31/20,"The conference provides attendees with an opportunity to learn a wide variety of tools to combat prejudice, idea sharing and networking, project planning, new fundraising ideas and more.",http://www.leadconferences.org/dc-winter/
"SCCTE 2020--Reading the Past, Writing the Future"," Myrtle Beach, SC",1/31/20,"It is time to focus on how to show students that reading and writing experiences mean something beyond the score at the top of the page and a letter in the grade book.",https://www.sccte.org/2020-sccte-conference
"5th International Symposium on Academic Writing and Critical Thinking","Nagoya, Japan",TBD,"The Fifth International Symposium on Academic Writing and Critical Thinking at Nagoya University brings together scholars from various fields to discuss principles and techniques of academic writing and scholarly communication. Of particular interest is the balance between innovative scholarship and norms of presentation and publishing.",http://meiwriting.ilas.nagoya-u.ac.jp/symposium.html
"UMLA 2020: Navigating The Middle Year","Riverton, UT",2/1/20,"The conference is one of the best sources of professional learning to be found in the state for Middle Level Educators.",https://www.utahmla.org/conference-2020.html
"Everyone Reading Conference","New York, NY",2/3/20,"Learn new strategies from noted experts in the field and experience the latest in teaching resources, technologies, schools and programs.",https://www.eiseverywhere.com/ehome/112088
"TCEA Convention & Exposition","Austin, TX",2/3/20,"At the 2020 TCEA Convention & Exposition, thousands of educators are on a mission to discover the knowledge and resources they need to engage students, enhance curriculum, and increase productivity. ",https://convention.tcea.org/
"National ESEA Conference","Atlanta, Georgia",2/4/20,"The ESEA Conference is an annual project of the National Association of ESEA State Program Administrators and the only conference focused on ESEA program issues. The theme of this year's conference is, ""Together for Equity.""",https://www.eseanetwork.org/conference
"The Leadership Academy","New Orleans, LA",2/4/20," Leadership Academy will showcase practices of those who’ve implemented dramatic improvements in their learning communities. Learn from experts and expand your skill set.",http://www.leadered.com/LA2020
"Conference on Higher Education Pedagogy","Blacksburg, Virginia",2/5/20,"Join 500 faculty and instructors from institutions around the world dedicated to teaching excellence.",https://chep.teaching.vt.edu/
"NCSEA Policy Forum","Washington, DC",2/6/20,"NCSEA's Policy Forum is dedicated to the policies and issues influencing the child support program at the national, state, and local levels.",https://www.ncseapolicyforum.org/
"National Cross-Cultural Counseling and Education Conference for Research, Action, and Change","Savannah, GA",2/7/20,"This conference focuses on racial identity development, ethnic identity development, and gender and sexual orientation, from infancy through adult maturity. ",https://academics.georgiasouthern.edu/ce/conferences/nccec/
"C W Austin Learning Disabilities Conference","Baton Rouge, LA",2/8/20,"This free conference is dedicated to Christopher Austin who was tragically killed at age 20. His learning disabilities did not stop him from achieving success as a creative college student with plans to become a screen writer.",https://www.eventbrite.com/e/c-w-austin-learning-disability-conference-registration-62999758975
"National Reading Recovery & K-6 Literacy Conference","Columbus, OH",2/8/20,"The National Reading Recovery & K-6 Literacy Conference provides powerful, research-based professional development. Topics include reading, writing, literacy coaching, oral language, comprehension, vocabulary, and much more.",https://readingrecovery.org/conferences/national-reading-literacy-conference/
" Conference on Meaningful Living and Learning in a Digital World 2020","Savannah, GA ",2/10/20,"As we embrace the conveniences of emerging technologies in the classroom and beyond, we will explore ways to employ them with a people-centered approach that includes balance, compassion, healthy living, mindfulness and relationships. ",http://meaningful.mozello.com/
"European Learning & Teaching Forum","Utrecht, Netherlands",2/13/20,"Through a mix of plenary and parallel sessions, the Forum seeks to explore controversies and find common ground on how to engage and empower students and teachers in developing their learning and teaching.",https://eua.eu/events/93-2020-european-learning-teaching-forum.html
"WISE Conference","Winston-Salem, NC",2/13/20,"WISE is the pioneering conference for faculty leaders, program coordinators, and administrators to develop the knowledge and skills needed to help students advance their intercultural skills and awareness during their abroad experiences.",https://global.wfu.edu/global-campus/wise-conference/
"AIEA Annual Conference","Washington, DC",2/16/20,"The conference is planned to be a provocative, relevant and rewarding annual conference for senior international education leaders from around the world.",https://www.aieaworld.org/2020-annual-conference-
"Get Your Teach On: Houston","Houston, TX",2/17/20,"A one of a kind experience for K - 6 teachers and administrators at the Hilton Americas.",https://www.getyourteachon.com/event/houston/
"Indiana Early Childhood Conference","Indianapolis, IN",TBD,"The Indiana Early Childhood Conference aims to promote high-quality learning for all children, birth through age 8, by connecting practice, policy, and research.",http://secure.iaeyc.org/2019-indiana-early-childhood-conference/indiana-early-childhood-conference-exhibitor-information/
"Innovations Conference","Seattle, WA",3/1/20,"The Innovations Conference, now in its 22nd year, is the foremost convening for professionals dedicated to improving and enhancing teaching and learning, leadership and management, and the community college experience.",https://www.league.org/inn2020
"Crisis Leadership in High Education","Cambridge, MA",3/2/20,"Drawing on the combined expertise of the Harvard Kennedy School in crisis management and the Harvard Graduate School of Education in higher education, this program prepares college administrators to respond to crises effectively, develop protocols and practices that minimize the potential for future occurrences, and inspire confidence in the long-term safety, security, and success of their institutions.",https://www.gse.harvard.edu/ppe/program/crisis-leadership-higher-education
"ELI Annual Meeting","Bellevue, WA",3/2/20,"The ELI Annual Meeting is the premier gathering of higher education teaching and learning professionals. This is the one event that explores solutions to our learning community's key issues, engages innovative technology and service providers, and unites expertise across our institutions.",https://events.educause.edu/eli/annual-meeting/2020
"National Youth-At-Risk Conference","Savannah, GA",3/8/20,"The National Youth-At-Risk Conference is designed to provide quality, relevant training for all people interested in the well-being of youth.",https://academics.georgiasouthern.edu/ce/conferences/nationalyouthatrisk/
"ASCD Empower20","Los Angeles, CA",3/13/20,"The conference will cover areas like Skills Differentiated Instruction, School Culture/Climate, Assessment and Grading, Effective Teaching and Leading, School Safety, Brain-Based Learning, English Language Learners, School Standards, Building Academic Vocabulary, Inclusion and Special Education, Student Mentoring, Character Education, and more.",http://empower.ascd.org/Default.aspx
"Diversity Abroad Conference ","New Orleans, LA",3/14/20,"The annual Diversity Abroad Conference has constituted the most comprehensive national forum on issues of access, diversity, equity, and inclusion in global education.",http://conference.diversitynetwork.org/
"Innovations in Education","Atlanta, GA",3/14/20,"This 2-day conference will provide an opportunity for teachers, administrators and other professionals and families to learn about revolutionary ideas and strategies for reaching and teaching all students. This forum will also provide a unique opportunity to learn key insights and ideas from self-advocate experts from around the world.",http://www.innovations-in-education.com/
"Ed Fest Hawaii","Honolulu, HI",3/18/20," Ed Fest Hawaii participants will return to their schools with strategies in shared leadership, genuine classroom inquiry, and community activation, that will positively and immediately impact students.",https://www.eventbrite.com/e/edfest-hawaii-2020-tickets-59564142955
"Diversity, Equity, and Student Success","New Orleans, LA",3/19/20,"This event will examine what it means to work toward a campus environment where inclusivity thrives through constant reflection, analysis, and accountability.",https://www.aacu.org/events/2020-diversity-equity-and-student-success
"Education Beyond the Human","Miami, FL",3/22/20,"This annual conference held by the Comparative & International Education Society tackles a different conference theme every year.",https://cies2020.org/
"School Redesign in Action","Norwood, MA",3/23/20,"Attendees will share success stories, exchange best practices, and continue to build momentum for innovations that lead to educational equity and prepare all students for success in the colleges, careers, and communities of the 21st century.",https://www.newenglandssc.org/conference/conference-details/
"The Forum's Annual Conference","Kansas City, MO",3/25/20,"The goal of the conference is to create a space for shared dialogue to explore the pressing issues of our field for today and for the future. ",https://forumea.org/training-events/annual-conference/general-info-2/
"Indiana Association of Home Educators Convention","Indianapolis, IN",3/27/20,"The Learning Express offers a program for children to enjoy. Come and meet other homeschooled teens from all over the state and cover areas like encouraging grandparents to become knowledgeable about home education and value the contributions they offer.",https://10times.com/iahe
"Utah Early Childhood Conference","Ogden, UT",3/27/20,"This annual conference engages and inspires participants through excellent training presented by local and national early childhood experts, networking opportunities, and experiences with early childhood exhibitors. ",https://utahearlychildhoodconference.com/
" ASU+GSV Summit","San Diego, CA ",3/30/20 ," The ASU + GSV Summit attracts over 5,000 leaders from across the learning and talent spectrum. Attendees will include leaders from the enterprise, investment, higher education, and PreK – 12 communities.",https://www.asugsvsummit.com/
"OLC Innovate 2020","Chicago, IL ", 3/31/20,"OLC Innovate will conduct a series of engaging hands-on sessions aimed at fostering organic interactions and collaborative cross-disciplinary problem solving to build new foundations for stronger, better higher education environments.",https://onlinelearningconsortium.org/attend-2020/innovate/
"Reagan Institute Summit","Washington, DC",TBD,"RISE 2020 will take place in Washington, DC and its focus will be grounded in the premise that education is a national priority and a state’s responsibility.",https://www.reaganfoundation.org/reagan-institute/programs/reagan-institute-summit-on-education/
" BPLC 2020","Providence, RI ",4/2/20,"This event is a chance for educators and leaders to discuss blended learning as it exists today on the ground - both in terms of the day-to-day implementation in blended classrooms.",http://blendedlearningconference.com/
"Massachusetts Reading Association","Quincy, MA",4/2/20,"English language teachers from pre-school to college, teachers in training, reading consultants, special education teachers, school administrators, and all those related with teaching of English language attend this conference. ",https://massreading.org/conference/
