Title,Link,Description,date,Summary,Email,ContactAddress,Time
"Physician Assistant",https://www.indeed.com/rc/clk?jk=cceab994ae4782e2&fccid=7473deff6092bbf8&vjs=3,"Seeking physicians assistants for modern, new urgent care facility. Practice will be using practice fusion with digital xrays and paperless setup. Very easy going team with no pressure, only genuine healthcare.Two teams will be splitting the week from 9am to 8pm. Each team will be doing 3(11hr days) per week and 4(11hr days) the following week.Experience in primary care and emergency setting with bilingual ability is a plus. Pay is based on experience. Please send resume to email address. Looking to open mid February.Thank you for your time!Job Type: Full-timeSalary: $95,000.00 to $100,000.00 \u002Fyear with benefitsJob Type: Full-timeSalary: $95,000.00 to $100,000.00 \u002FyearExperience:PA: 1 year (Preferred)Location:Orlando, FL 32822 (Preferred)License:physicians assistant (Required)Language:English, Spanish (Preferred)Work authorization:United States (Required)Work Location:One locationBenefits:Health insuranceDental insurancePaid time offEMR Used:Practice FusionThis Company Describes Its Culture as:People-oriented -- supportive and fairness-focusedTeam-oriented -- cooperative and collaborativeMedical Specialty:Urgent Care",,,,,
"Physician&#039;s Assistant (PA)",https://www.indeed.com/rc/clk?jk=63ad0bcc82c6312a&fccid=443e5d03d39ff682&vjs=3,"We are looking for a Physician's Assistant for our medical practice to see patients for weight loss, hormone replacement, internal medicine \u002F primary care, and to see patients with the VA. Our ideal candidate would be available Monday's 9-5pm and Tuesday's 9-7:30pm. Experience in internal medicine or primary care preferred but not required. Credentialed with insurance companies preferred but not required. Experience with joint injections would be helpful. We would love to find a practitioner who is upbeat, positive, a team player, and can practice independently within the scope of their practice. We have been in business for over 10 years and we are currently looking to expand into the internal medicine practice. Please send CV.Job Type: Part-timeSalary: $40.00 to $55.00 \u002FhourWork Location:One locationHours per week:10-19Medical Specialty:Primary CareInternal Medicine",,,,,
"Physician Assistant/APRN",https://www.indeed.com/rc/clk?jk=2bd08a20ad66bc98&fccid=72400a4a03993573&vjs=3,"We are seeking a Board Certified Physician Assistant, or APRN to join our 2 medical practices in an outpatient setting. Providers can be expected to see 20 to 30 patients daily.Well established and locally owned Family Practice with offices in Rockledge and Merritt Island Florida just minutes from Cocoa Beach . Our family practice is dedicated to preventing, diagnosing, and treating patients 5 years and up.and the the community health education.Our family practice always strives to give exceptional and personalized healthcare to all of our patients in a convenient and caring manner by allowing daily appointments and walk-ins. Our offices are staffed by outstanding healthcare professionals who provide comprehensive and easily accessible healthcare.This position offers many benefits , approximately. value of $12,000 : - Competitive wages based on experience- comprehensive benefit plan : -Paid disability insurance , vision and dental , accidental and hospital insurance- Paid Malpractice insurance- Paid Annual CME- Training and support by a Medical Doctor- EMR, Onsite X-Ray, US, EKG, Dexa, Lab.- Reimbursement for medical insurance coverage- Relocation funds if out of state- No hospital call , no night shifts- Paid holidays- sign up bonus , if signed contract in December 2019We would love you to be a part of our well established offices and patients . We have an exceptional fun and friendly work environment. Our office is located minutes from the beautiful beaches of Cocoa Beach and 45 minutes from the main Orlando attractions such as Disney World, Sea World, Universal Orlando, and much more. Brevard is a great place to work and raise a family. Our schools are some of the best in the country.Experience the best of fishing, surfing, scuba diving, kite surfing, boating, golfing and shopping. Let the ocean, river, or lake be your backyard view. Actually barbeque while you watch the dolphins or manatees swim by.**Don't wait ,schedule you interview with us and learn who we are .Doctor Jasen KobobelJob Type: ContractEducation:High school or equivalent (Preferred)Contract Length:More than 1 yearContract Renewal:LikelyAdditional Compensation:BonusesWork Location:Multiple locationsBenefits:Dental insuranceVision insuranceSigning bonusPaid time offFlexible scheduleRelocation assistanceOtherThis Company Describes Its Culture as:Team-oriented -- cooperative and collaborativeMedical Specialty:Primary CareUrgent CareSchedule:Monday to FridayWeekends",,,,,
"Physician Assistant",https://www.indeed.com/rc/clk?jk=27a6080d4f07527d&fccid=f810322060a17f76&vjs=3,"Immediate full-time Physician Assistant position in Orthopedic, Neurosurgery and Interventional Pain Management office located in Winter Park, Florida. We are a busy multi-specialty practice seeking a highly motivated and skilled PA. PA will have their own patient schedule and will see new patients as well as follow up patients. PA will work under the direction of highly experienced and respected surgeons. Our practice is patient centered so overall quality of patient experience is a primary objective.Highly compensated position and salary is commensurate with experiencePosition is for clinic hours only, Monday through Friday 8-5Florida Physician assistant license requiredRequired experience in Spine Orthopedics\u002FNeurosurgeryPaid malpractice insurance, CME’s, and license feesJob Type: Full-timeExperience:Spine\u002FOrthopedics\u002FNeurosurgery: 1 year (Required)License:Physician Assistant License (Required)Additional Compensation:BonusesBenefits:Paid time off",,,,,
"Nurse Practitioner/Physician Assistant",https://www.indeed.com/rc/clk?jk=398588efc02cccbf&fccid=ea5476ac492a7a56&vjs=3,"Urgent Care clinic and Thriving Primary office looking for the right provider to augment our team of experienced medical staff. We are physician-owned and managed. We offer health insurance provided with option for dependents. Covered Malpractice. Stable scheduling. Include CV for more detailsJob Type: Full-timeExperience:Nurse Practitioner: 1 year (Required)Physician Assistant: 1 year (Preferred)Location:Ocala, FL 34476 (Required)License:Advanced Practice Registered Nurse (APRN) (Required)",,,,,
"Physician Assistant-Certified",https://www.indeed.com/rc/clk?jk=cb198c47dbab577a&fccid=36b7931ace5e3bed&vjs=3,"Physicians assistant for busy Family Practice office in Orlando. Full time position. Must have knowledge of Electronic medical records.Must be Bilingual. Must have manage care experience, be dependable as well as a team player.Job Type: Full-timeSalary: $32.00 to $44.00 \u002FhourLocation:Orlando, FL (Preferred)Work authorization:United States (Preferred)Benefits:Health insuranceDental insuranceVision insurancePaid time offBenefits offered:Paid time offHealth insuranceDental insuranceRetirement benefits or accountsEducation assistance or tuition reimbursement",,,,,
"Physician Assistant",https://www.indeed.com/rc/clk?jk=640eaf13c91e3be2&fccid=ff96ce89314a063d&vjs=3,"Benefits:  401K, Dental, Life, Medical, VisionEmployment Type Full-TimeWe are seeking a Physician Assistant to join our growing Orthopedic Spine Surgery team!You will provide healthcare service in the clinic (50%) and operating room (50%), under the supervision of a board-certified orthopaedic spine surgeon.Responsibilities: Participate in non-trauma \u002F Emergency Department Call every other weekend under the supervision of the physician.Conduct comprehensive history and physical examinations in the clinic and hospital setting for new patients, as well as follow up non-surgical and surgical patients under the supervision of the physician.Interpret imaging (x-ray, MRI, CT, etc.) and laboratory data in order to make clinical decisions within the clinic and hospital under the supervision of the physician.Act as an assistant surgeon\u002Fsurgical first assist in the operating room.Reconcile medications and implement discharge\u002Ftreatment plans for surgical patients.Coordinate inpatient hospital care with consulting hospital services.Manage patients utilizing both operative and non-operative modalities.Qualifications: Graduation from an accredited Physician Assistant Program.Current NCCPA licensure as a Physician Assistant- Certified.Current Florida PA-C licensure strongly preferred.Current BLS and\u002For ACLS certification strongly preferred.Previous experience as a physician assistant in a hospital and\u002For clinical setting&mdash;surgical experience preferred, preferably in orthopedic surgery or neurosurgery.Excellent written and verbal communication skills.Strong organizational skills will be required.Job Type: Full-timeSalary: $100,000.00 \u002FyearExperience:Spine Surgery or Neurosurgery: 1 year (Preferred)Education:Master's (Required)Location:Celebration, FL 34747 (Required)License:Physician Assistant (Required)Work authorization:United States (Required)Additional Compensation:BonusesWork Location:Multiple locationsBenefits:Health insuranceDental insuranceVision insuranceRetirement planPaid time offProfessional development assistanceRelocation Assistance Provided:NoMedical Specialty:Surgery",,,,,
"Part time Nurse practitioner / physician assistant for Nephrology Inpatient",https://www.indeed.com/rc/clk?jk=1314877d51583652&fccid=3e1f6f2b5524521f&vjs=3,"Looking for part time Nurse Practitioner \u002F Physician assistant for in patient nephrology over weekends. Expected to provide inpatient nephrology care at Citrus Memorial hospital in Inverness, and Bayfront Seven rivers hospital in Crystal river.Compensation details will be provided upon request.Job Type: Part-timeWorking days:SaturdaySundayHours per week:10-19Environment:InpatientSpeciality :Med-SurgDialysisCompleted license needed:Upon starting workEMR Used:CernerPatient Type:AdultsGeriatricShift Length:8 hoursTypical start time:8AMTypical end time:5PM",,,,,
"Physician Assistant",https://www.indeed.com/rc/clk?jk=2e3d3a2b7ecadf77&fccid=6086dfbbe3d30444&vjs=3,"Physician Assistant to provide surgical assistance with large surgical group located in Winter Park.Must have certification and previous surgical experience - preferably in spine. Full time position - salary plus quarterly bonus. First call one in six. Please respond with resume and cover letter. No phone calls.Job Type: Full-time",,,,,
"Physician Assistant Surgery I",https://www.indeed.com/rc/clk?jk=44d8b36929ddebb6&fccid=81f6d74938ba8553&vjs=3,"Physician Assistant Surgery I - Orlando Health Physicians\nOrlando Health is one of Florida&rsquo;s most comprehensive private, not-for-profit healthcare systems providing access to nearly two million Central Florida residents and has provided care for more than 4,600 international visitors annually. Our physician practices, diagnostic centers, hospitals and advanced medical treatments and procedures, along with our highly qualified team of medical specialists, have distinguished Orlando Health as a healthcare leader. We are one of Central Florida&rsquo;s largest employers with more than 15,000 employees and nearly 3,000 affiliated physicians supporting our philosophy of providing a continuum of care that revolves around patients&rsquo; needs. As a leading healthcare resource, providing world-class medical care as well as training our future healthcare providers, Orlando Health will continue to foster growth and development throughout the region for generations to come. We are looking for talented individuals to be part of our team.\nQUALIFICATIONS:\nThree (3) years experience as a Physician Assistant.",,,,,
