name,link,location,date
"Nurse Practitioner / Physician Assistant",https://www.indeed.com/rc/clk?jk=15612489f6451782&fccid=922ab4471d8e75bf&vjs=3,"Hours per week: 40\n\n\nHealthstat is a leading provider of on-site primary care, high health risk intervention, chronic condition management and occupational medical care services in employer facilities. Through on-site centers, preventative care, wellness programs and comprehensive reporting, Healthstat alleviates a corporation&rsquo;s rising cost of healthcare by improving the health of its employees and dependents. Healthstat currently manages more than 300 clinics nationwide serving over 200,000 participants.\n\n\nHealthstat&rsquo;s professional providers aid employees with reaching personal health improvement goals. Our positions offer a unique opportunity to be directly involved with improving employee health with a singular commitment to wellness.\n\n\nHealthstat is seeking a qualified Nurse Practitioner or Physician Assistant looking to be an integral part of our culture where people come first, and we strive to make a difference. Personal health is our priority!! Our clinics generate healthy and happy employees!\n\n\nHow Healthstat providers make a difference:\nDevelop individual healthcare plans to lower health risks\nDiagnose and treat chronic diseases and acute\u002Fepisodic occurrences\nRefer patients with complex medical issues to a primary physician or specialist\nUtilize the Trans Theoretical Model of Behavior Change\nEssential Functions:\nProvide primary care, disease management, and preventative care services to employees of contracted client companies;\nDisease Management (to include but not limited to): Hypertension, Diabetes, High Cholesterol, Obesity, Asthma\u002FCOPD, Coronary Artery Disease, Smoking Cessation (preventative), Weight Loss (preventative)\nPrimary Care (to include but not limited to): Ear infections, Respiratory infections, Common colds, Influenza, Urinary tract infections, Breathing disorders, Muscle strain, Minor stitch removal, Punch biopsy, Wellness exam\nConstruct and interpret a medical history.\nAbility to draw blood samples in the clinic to be sent to the corresponding lab companies.\nAbility to work independently\nMaintain accurate patient records (Electronic Medical Records).\nPerform a physical assessment: order appropriate lab tests and\u002For diagnostic or screening procedures.\nDeveloping with the patient an ongoing plan for health with an emphasis on prevention and self-care (prescription of care including medications).\nFollow up and evaluation of care plan as clinically indicated.\nAssist patients in establishing a physician relationship if one is not currently established.\nCommunicate with patients&rsquo; physicians ANY and ALL changes in patient care plan.\nDirect referral to and liaison with consultants and other professional agencies.\nDispense medications from on-site dispensary (if applicable);\nAssist in the development of internal operations of Clinic-specific locations to meet the needs of the population being serviced\nWork cooperatively with Corporate Client Services and Clinic Operations to ensure seamless provision of support to the on-site clinics;\nWork collaboratively with the Medical team assigned to said Client Company to deliver optimum care and coverage for contracted services;\nParticipate in Client Company sponsored trainings from time to time;\nStaff a set number of client company clinic sites as determined by Healthstat, Inc.\nCoordinate activities of data gathering, information distribution and ongoing administration.\nManagerial\nAttend all Healthstat clinic training sessions (including EMR training).\nIdentify community health needs and strategies to address them.\nTo advise on Healthstat policy within the continually changing environment of healthcare delivery.\nTo schedule follow-up appointments, screenings, and tests for client company employees.\nAssist in outreach efforts with Healthstat to target those employees at highest risk of developing chronic diseases.\nMaintain clinic operations standards and supply inventory.\nComplete all necessary paperwork required by Healthstat.\nJOB REQUIREMENTS\nRequirements:\nMust meet all state requirements and be licensed in good standing to practice medicine\nPrevious experience with the use of an Electronic Medical Records system\nGood organizational and communication skills\nConstruct and Interpret medical history\nProficient in Phlebotomy\nDispense medication from on-site dispensary (if applicable)\nAble to work independently\n2+ years of professional clinical experience\nExperience in Urgent Care or Occupational Medicine a plus\nAbility to suture a plus\nBe able to lift 20 lbs. periodically\nMay be sole staff member, must be comfortable with checking in and rooming patients\nAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, ancestry, national origin, place of birth, age, marital status, or handicap.",
"Nurse Practitioner/Physician Assistant",https://www.indeed.com/rc/clk?jk=c83461a0be5328d8&fccid=8f40e9ee1ecce773&vjs=3,"Position Summary: Works within the scope of the medical protocols established by CareSpot and within the scope of their state&rsquo;s license, to provide prompt, comprehensive and competent medical care. Works collaboratively with a healthcare team to provide acute health care to patients\n\n\nEssential Responsibilities\n\n\n1.\n\nProvides exemplary customer service to patients, visitors and coworkers; Maintains customer loyalty score at or above company benchmark\n\n\n2.\n\nProvides leadership, direction, and assistance during emergencies while maintaining a comforting and reassuring environment for patients\n\n\n3.\n\nComplies with necessary regulatory standards and licensure requirements mandated by Federal and State Agencies (i.e. HIPAA, OSHA, and CPR certification)\n\n\n4.\n\nPerforms medical assessment of Center patients and appropriately documents all relevant information on designated CareSpot form and\u002For Electronic Health Records\n\n\n5.\n\nEstablishes and monitors a medically appropriate level of care for center patients\n\n\n6.\n\nPerforms examinations for workers&rsquo; comp, occupational medicine, DOT, sports and other physicals, wellness tests and pre-employment screenings\n\n\n7.\n\nOversees, directs and supports on site laboratory, dispensing of on-site where applicable, Rx, x-rays, injections, and collections for direct access services\n\n\n8.\n\nPerforms daily Urgent Care Patient follow-up callbacks to review treatment and check on progress\n\n\n9.\n\nWorks with Center Manager and other staff to ensure operations are consistent with medical policy and professional standards\n\n\n10.\n\nParticipates in and assists with in-service and continuing education programs for physicians, nurses and other personnel employed by or associated with CareSpot\n\n\n11.\n\nAssists in scheduling and providing medical coverage for assigned Center and other Centers, if needed\n\n\n12.\n\nPromotes, supports, and engages in projects and activities which will develop or improve services delivered at the Center\n\n\n13.\n\nAssures compliance with licensing, certification and accrediting bodies\n\n\n14.\n\nPlace IV and initiate intravenous therapy when appropriate\n\n\n15.\n\nPerforms medical assessment, procedures, and determines treatment recommendations of center patients ages 6 months and older\n\n\n16.\n\nAbility to utilize 3-4 exam rooms when working in a single-provider center\n\n\n17.\n\nDirects and reviews all laboratory and radiology results and develops appropriate treatment plan\n\n\n18.\n\nPerforms other duties as assigned\n\n\n19.\n\nActs with honesty and integrity in all business transactions, including, but not limited to, employment applications\u002Fresumes, patient records, time records, and financial transactions\n\n\n\n\nRequired Skills\nMinimum Qualifications:\n\nEducation:\nGraduated from an accredited school of nursing with Advanced Practice Nurse Master&rsquo;s Degree OR\nGraduated from an accredited Professional Physician Assistant Program\nActive Physician Assistant state license or Nurse Practitioner state license\nActive DEA license from state of practice if applicable\nBoard Certified (NP must be FNP certified for six (6) months to adult)\nBLS Certification\nMedical Examiners Certification for DOT physicals (ME certification may be acquired within the first 30 days of employment)\nAdditional Knowledge, Skills and Abilities:\n\nMust be aware of hazardous situations and be able to provide a leadership role in emergencies as needed.\n\nAbility to work weekends and holidays\n\n\nRequired Experience\n\n\nMinimum 1 year applicable experience in acute\u002Furgent care, family practice or emergency department setting\nExperience in pediatrics (ages 6 months and up)\n2 years of experience preferred\nExperience using an Electronic Health Record (EHR) preferred\nMinimum 1 year treating patients autonomously",
"Family Nurse Practitioner / Physician Assistant",https://www.indeed.com/rc/clk?jk=bd739ebfac14c426&fccid=922ab4471d8e75bf&vjs=3,"Hours per week: 40\n\nHealthstat is a leading provider of on-site primary care, high health risk intervention, chronic condition management and occupational medical care services in employer facilities. Through on-site centers, preventative care, wellness programs and comprehensive reporting, Healthstat alleviates a corporation&rsquo;s rising cost of healthcare by improving the health of its employees and dependents. Healthstat currently manages more than 300 clinics nationwide serving over 200,000 participants.\n\n\nHealthstat&rsquo;s professional providers aid employees with reaching personal health improvement goals. Our positions offer a unique opportunity to be directly involved with improving employee health with a singular commitment to wellness.\n\n\nHealthstat is seeking a qualified Family Nurse Practitioner or Physician Assistant looking to be an integral part of our culture where people come first, and we strive to make a difference. Personal health is our priority!! Our clinics generate healthy and happy employees!\n\n\nHow Healthstat providers make a difference:\nDevelop individual healthcare plans to lower health risks\nDiagnose and treat chronic diseases and acute\u002Fepisodic occurrences\nRefer patients with complex medical issues to a primary physician or specialist\nUtilize the Trans Theoretical Model of Behavior Change\nEssential Functions:\nProvide primary care, disease management, and preventative care services to employees of contracted client companies;\nDisease Management (to include but not limited to): Hypertension, Diabetes, High Cholesterol, Obesity, Asthma\u002FCOPD, Coronary Artery Disease, Smoking Cessation (preventative), Weight Loss (preventative)\nPrimary Care (to include but not limited to): Ear infections, Respiratory infections, Common colds, Influenza, Urinary tract infections, Breathing disorders, Muscle strain, Minor stitch removal, Punch biopsy, Wellness exam\nConstruct and interpret a medical history.\nAbility to draw blood samples in the clinic to be sent to the corresponding lab companies.\nAbility to work independently\nMaintain accurate patient records (Electronic Medical Records).\nPerform a physical assessment: order appropriate lab tests and\u002For diagnostic or screening procedures.\nDeveloping with the patient an ongoing plan for health with an emphasis on prevention and self-care (prescription of care including medications).\nFollow up and evaluation of care plan as clinically indicated.\nAssist patients in establishing a physician relationship if one is not currently established.\nCommunicate with patients&rsquo; physicians ANY and ALL changes in patient care plan.\nDirect referral to and liaison with consultants and other professional agencies.\nDispense medications from on-site dispensary (if applicable);\nAssist in the development of internal operations of Clinic-specific locations to meet the needs of the population being serviced\nWork cooperatively with Corporate Client Services and Clinic Operations to ensure seamless provision of support to the on-site clinics;\nWork collaboratively with the Medical team assigned to said Client Company to deliver optimum care and coverage for contracted services;\nParticipate in Client Company sponsored trainings from time to time;\nStaff a set number of client company clinic sites as determined by Healthstat, Inc.\nCoordinate activities of data gathering, information distribution and ongoing administration.\nManagerial\nAttend all Healthstat clinic training sessions (including EMR training).\nIdentify community health needs and strategies to address them.\nTo advise on Healthstat policy within the continually changing environment of healthcare delivery.\nTo schedule follow-up appointments, screenings, and tests for client company employees.\nAssist in outreach efforts with Healthstat to target those employees at highest risk of developing chronic diseases.\nMaintain clinic operations standards and supply inventory.\nComplete all necessary paperwork required by Healthstat\nJOB REQUIREMENTS\nRequirements:\nMust meet all state requirements and be licensed in good standing to practice medicine\nPrevious experience with the use of an Electronic Medical Records system\nGood organizational and communication skills\nConstruct and Interpret medical history\nProficient in Phlebotomy\nDispense medication from on-site dispensary (if applicable)\nAble to work independently\n2+ years of professional clinical experience\nExperience in Urgent Care or Occupational Medicine a plus\nAbility to suture a plus\nMay be sole staff member, must be comfortable with checking in and rooming patients\nAll qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, ancestry, national origin, place of birth, age, marital status, or handicap.",
"Physician Assistant, Urology - Dr. Phillips Hospital",https://www.indeed.com/rc/clk?jk=e758e78c8ce4012f&fccid=81f6d74938ba8553&vjs=3,"Physician Assistant, Urology - Dr. Phillips Hospital - Orlando Health Physicians\nOrlando Health is one of Florida&rsquo;s most comprehensive private, not-for-profit healthcare systems providing access to nearly two million Central Florida residents and has provided care for more than 4,600 international visitors annually. Our physician practices, diagnostic centers, hospitals and advanced medical treatments and procedures, along with our highly qualified team of medical specialists, have distinguished Orlando Health as a healthcare leader. We are one of Central Florida&rsquo;s largest employers with more than 15,000 employees and nearly 3,000 affiliated physicians supporting our philosophy of providing a continuum of care that revolves around patients&rsquo; needs. As a leading healthcare resource, providing world-class medical care as well as training our future healthcare providers, Orlando Health will continue to foster growth and development throughout the region for generations to come. We are looking for talented individuals to be part of our team.\nQUALIFICATIONS:",
"Advance Practice Registered Nurse/Physician Assistant (APRN/PA) CVICU (FT, 12hr shifts)",https://www.indeed.com/rc/clk?jk=c3576a597dd03d91&fccid=cab9bcf468a993db&vjs=3,"Advance Practice Registered Nurse\u002FPhysician Assistant (APRN\u002FPA) CVICU (FT, 12hr shifts)\nRequisition #: 190731\nLocation: Johns Hopkins All Children's Hospital, St. Petersburg, FL 33701\n\nCategory: Advanced Practice Providers\nWork Shift: Rotating Shift\nWork Week: Full Time (40 hours)\nWeekend Work Required: Yes\nDate Posted: Jan. 6, 2020\nAPRN\u002FPA Critical Care - CVICU, Full time\n\n\nPOSITION SUMMARY:\n\nProvides patient centered, specialized, evidence based nursing care across the continuum through an inter-professional approach to treatment, research, education and advocacy. ARNP's and PA's are board-certified providers that assume responsibility and accountability for health stabilization, promotion, and maintenance of acute and chronic illness or injury. ARNP's contributes to the goals of the department by being accountable for the delivery of compassionate and safe care within the scope of practice as defined by the Florida Board of Nursing and JHACH policy.\nPA's assume responsibility and accountability for health stabilization, promotion, and maintenance of acute and chronic illness or injury under the supervision of a physician. Through collaborative practice with all members of the care team, this role is responsible for patient outcomes that meet the high quality of care provided by JHACH..\n\nWork Hours: 12 hours flexible\nWork Location: St. Petersburg\n\nQUALIFICATIONS:\n\nCurrent Florida State Licensure as ARNP or Physician AssistantClinical Master's Degree in Nursing or DNP for ARNPs or Clinical Master's Degree Physician AssistantCurrent BLS and\u002F or PALSCurrent National Certification as a: Pediatric Nurse Practitioner-Acute Care, Physician Assistant\nJohns Hopkins Health System and its affiliates are Equal Opportunity\u002FAffirmative Action employers. All qualified applicants will receive consideration for employment without regard to race, color, religion, sexual orientation, gender identity, sex, age, national origin, disability, protected veteran status, and or any other status protected by federal, state, or local law.",
"AdventHealth Medical Group BMT - APRN or PA-C",https://www.indeed.com/rc/clk?jk=50ce79998523619a&fccid=11994ad5a40ae7aa&vjs=3,"AdventHealth Medical Group formerly known as Florida Hospital Medical Group is associated with the largest Protestant not-for-profit healthcare system in the world, AdventHealth and a national leader in quality, safety and patient satisfaction. AHMG&rsquo;s advanced practice providers manage the treatment and care for our patients in the practice setting, as well as at AdventHealth&rsquo;s eight campuses in Altamonte Springs, Apopka, Celebration, East Orlando, Kissimmee, Orlando, Winter Park and AdventHealth Waterman in Tavares.\nAdventHealth Medical Group Blood and Marrow Transplant at Orlando\nAdvanced Practice Registered Nurse (APRN) or Physician Assistant, PA-C\nFull-Time Opportunity at AdventHealth Orlando\n\nFor more than a decade the Blood and Marrow Transplant Center has provided treatment and successful therapy for a variety of blood-related cancers and diseases. Blood and Marrow Transplant Center has treated more than 500 blood and marrow transplants. As Central Florida&rsquo;s first and only comprehensive bone marrow transplant center, Blood and Marrow Transplant at Orlando is certified by the Foundation for the Accreditation of Cellular Therapy for meeting stringent volume and standard of care requirements. Blood and Marrow Transplant at Orlando is also a member of the National Marrow Donor Program.\nGeneral Summary:\nThe APRN or PA-C, under the supervision of the Physician(s) who acts as the collaborative practitioner(s), is responsible for:\nPerforms physical examinations of patients; evaluation and treatment of illnesses related to hematology, oncology and bone marrow transplant\nOrders and interprets appropriate diagnostic tests, such as routine laboratory, x-ray, etc.\nPosition entails managing\u002Fmonitoring patients in the clinic, infusion center and hospital settings\nMonitors the patient&rsquo;s course of treatment and makes appropriate referral to either a physician or specialist, as needed\nCollaborates with physician supervisor and staff, as necessary to provide consistent care to patients and support to staff\nDisplays a caring and professional attitude at all time as well as maintaining personal and professional growth\nKnowledge and Skills Required:\nAbility to establish and maintain effective working relationships with employees, patients, and the public; Strong communication skills\nAttention to detail a must\nAbility to provide quality customer service\nAbility to work flexible schedule including call rotation, nights, weekends\nRounding required during the day and on weekends when on call\nAbility to excel in a fast-paced clinic with highly acute patients, APP will also be required to participate in inpatient rounding at AdventHealth Orlando\n\nAbility to complete bone marrow biopsies, skin biopsies in both inpatient and outpatient settings, lumbar punctures, and IT Chemo (training will be provided)\nRequired Education and Experience:\nMaster&rsquo;s degree in Nursing or Physician Assistant studies\nExperience as an APRN or PA-C in Hematology\u002FOncology (highly preferred)\nOncology nursing experience (highly preferred)\nRequired Licensure, Certification, and Registration:\nCurrent, valid Florida APRN or PA license\nANCC, AANP, NCCPA (or equivalent) certification\n\nBLS and ACLS required\nHospital Description\nAdventHealth Orlando is our 1,364 bed tertiary facility with close to 160 ICU beds. It is at the center of eight other hospitals around the greater Orlando area, which total approximately 3,000 beds. AdventHealth operates many hospitals across 9 different states; 30 of which are in Florida. Our mission has remained the same and is to Extend the Healing Ministry of Christ.\n\nSince 1908, AdventHealth Orlando has cared for the Central Florida community as well as patients from around the world. AdventHealth Orlando is an acute-care, tertiary hospital caring for approximately 300,000 patients a year. As the primary campus for more than 1,000 physicians, AdventHealth Orlando is home to nationally recognized Centers of Excellence for Cancer, Cardiology, Children, Diabetes, Neuroscience, Orthopaedics, and Abdominal and Cardiothoracic Transplant. AdventHealth Orlando continues to meet the growing needs of our community with the addition of the Ginsburg Tower, a $255 million 15-story facility that is home to the AdventHealth Cardiovascular Institute and a football-field-sized emergency department that can accommodate the treatment of more patients in less time.\nCommunity Description\nOrlando is known as the City Beautiful. There is much more than theme parks here! Our community is culturally diverse and a great place to raise a family. We have excellent public and private schools. Orlando is also the setting for several colleges and Universities, including the University of Central Florida. We are home to multiple theaters, art museums, art festivals and film festivals. We are well known for our excellent restaurants. We have a vibrant sports community with national teams like the Orlando Magic Basketball and Orlando City Soccer Club. We offer year round pleasant weather for outdoor fun and are only an hour away from some of the most scenic beaches in the Southeast.\n\nThis facility is an equal opportunity employer and complies with federal, state and local anti-discrimination laws, regulations and ordinances.",
"Nurse Practitioner or Physician Assistant",https://www.indeed.com/rc/clk?jk=0e87537c5bd5300a&fccid=f9dbabb01a22720e&vjs=3,"Overview:[\nCenturion is proud to be the provider of medical services to the Volusia County Jail.\n\nWe are currently seeking a part-time Nurse Practitioner or Physician Assistant to join our team at the Volusia County Jail located in Dayotna, Florida.\n]Available Shift:[\nPart time Friday Evenings 5pm to 10pm - weekly\n]Responsibilities:\nThe Nurse Practitioner \u002F Physician Assistant works under the supervision of a physician in a correctional environment and is responsible for assisting in the delivery of health care and patient care management. This includes collaborating with a multidisciplinary team, performing assessments, diagnosing patients, and medication management.\n\nMedical Evaluations\u002F Routine Medical Care\nCronic Care Clinics\nSick Call Referrals\nAbout Us:[\nCenturion contracts with state and local governments nationwide to provide comprehensive healthcare services to correctional facilities, state hospitals, and other community settings. Our dedication to making a difference and our passionate team of the best and the brightest healthcare employees has made us one of the leaders of the correctional health industry. Whether you are driven by purpose and impact or on a journey of professional growth, our opportunities can offer both.\n]Qualifications:\nHold an active APRN or Physician Assistant License in the State of Florida\nCurrent BLS\u002FCRP Certification\nPrevious correctional experience preferred but not required\n\n mhmfl",
"Advanced Practice Provider (Nurse Practitioner/Physician Assistant)",https://www.indeed.com/rc/clk?jk=ad49f3b17da3c212&fccid=56afd81c86b16c47&vjs=3,"Description:\nDuties and Responsibilities:\n\nProvides primary and episodic care to patients – independently and in collaboration with other medical professionals – following standards and protocols set by the sponsoring physician.\nObtains complete medical history and physical data on patients.\nReviews patient records.\nInterprets and integrates data to determine appropriate diagnostic and therapeutic procedures needed.\nPerforms a complete physical exam and records findings.\nEstablishes presumptive diagnosis.\nOrders appropriate laboratory and diagnostic procedures.\nSynthesizes data to determine preliminary diagnosis and therapeutic plan utilizing principles of prevention.\nAdministers injections, immunizations and oral medications.\nSutures wounds.\nTreats sprains\u002Fstrains and orthopedic injuries.\nPrepares written prescription orders for drugs and controlled substances.\nRecommends community resources to meet patient and family needs.\nInstructs patient and family regarding medications and treatment instructions.\nAssists physicians by recording patient progress notes, issues diagnostic orders and transcribe orders.\nTriages patient telephone calls and provides consultation.\nPerforms independent evaluations and treatment procedures in emergency situations.\nProvides monitoring and continuity of care between physician visits.\nAttends required meetings and participates in committees as requested.\nParticipates in professional development activities and maintains professional affiliations.\nMaintains patient confidentiality.\nUtilizes practice guidelines and standardized procedures in collaboration with the supervising physician(s) in providing medical care to patients.\nCustomer and personal service knowledge including needs assessment, meeting quality standards for services and evaluation of customer satisfaction.\nPerforms duties in accordance with the customary rules of ethics and conduct of the applicable State Board of Medicine and other such regulating bodies.\nPrescribes dosages and instruct patients in correct usage. This includes uses of chemicals and their interactions, danger signs, production techniques, and disposal methods.\nMaintains quality, safety, and infection control standards.\nLearns computer software programs; enters and maintains accurate data and statistical information in order to consistently prepare clear and concise reports, correspondence and other written materials.\nFunctions as a member of clinical team in maintain patient flow and maximizing the delivery of quality care to patients.\nEmphasize health promotion and\u002For disease prevention through patient education and coordination of care.\nFollows regulations and guidelines for writing prescriptions.\nFollow protocols which provide medical authority when such are indicated in providing care.\nPerform complete physical exams and assessments of patients including urgent, emergent and non-urgent presentation.\nSelect order and perform tests and procedures to augment physical findings.\nDefine\u002Fdocument differential diagnoses and list differential diagnoses with most likely diagnoses included.\nWrite orders on physician order sheet for tests, procedures and the implementation and management of therapies in accordance with medical nursing protocols.\nPerform diagnostic and therapeutic procedures as deemed necessary and appropriate for plan of care, in collaboration with supervising physician.\nInterpret data and diagnostic results for appropriate course of action including but not limited to, radiology, EKG, etc. in collaboration with supervising physician.\nNotate findings and treatment course in patient chart including follow-up notes.\n\nOther Special Conditions\n\n\nWill be requested on occasion to attend or participate in off-site functions\n\nSupervisory Relationship:\n\nReports to office manager, medical directors, and owners\n\nWork Schedule:\n\nWork week to include Monday through Sunday with weekend and evening hours\nApproximately 45 hours per week.\n\nRequirements:\nQualifications\n\n\nGraduate of an accredited school of Nursing or Physician Assistant\nCurrent state licensure as Advanced Practice Registered Nurse or Physician Assistant\nDEA license with no restrictions preferred\nCurrent BLS\u002FACLS\u002FPALS\nCurrent certification with the NRCME to perform Department of Transportation (DOT) exams\nSkilled in traditional disciplines of patient assessment and management\nTwo years of experience as a Practice Family Nurse Practitioner or Physician Assistant preferred\nClinical experience in an emergency medicine, urgent care, or ambulatory care setting preferred\n\nPersonal Qualities\n\n\nAbility to communicate well with staff, providers, managers and public\nCan be trusted with confidential information\nAble to work well under pressure\nNeat and friendly appearance\nAbility to comprehend established office routines and policies\nLearns quickly from oral and written instructions\nUnderstand the ethics of confidentiality\u002FHIPAA\nGood organization skills and strong communication skills\nMust be professional and courteous with patients, customers and staff\n\n",
"ARNP/ OBGYN",https://www.indeed.com/rc/clk?jk=7c6e749f477fe4af&fccid=90637f1cd721df37&vjs=3,"OBGYN Physician Assistant or Nurse Practitioner needed Ocala, OB\u002FGYN practice seeking motivated person to join our team. Front and back office clinical and management practice experience a plus and or anticipated specificaly in OBGYN or surgical fields but new licensed practitioners who are passionate about practicing excellent medicine as part of our growing team are welcome to apply. Location: Central Florida\u002F Ocala Compensation: Depends on experience, excellent benefit package after 90 days.Principals only. Recruiters, please don't contact this job poster.Please do not contact job poster about other services, products or commercial interests.",
"APRN or Physician Assistant",https://www.indeed.com/rc/clk?jk=14ae9847e62043bb&fccid=a21f87811f0d0d52&vjs=3,"Florida Medical Clinic, LLC\n\nJob Description\n\nJob Title: APRN\u002FPA\n\nDepartment: Urgent Care\n\nReports to: Supervising Physician &amp; Director\u002FAssociate Director of Physician Offices\n\nJob Summary: Responsibilities of APRN\u002FPA under general supervision of provider.\n\n\nEssential Functions of the Position: Looking for an experienced APRN\u002FPA for our Zephyrhills Urgent Care.\n\nEvaluate Patients\nObtain and record health histories\nPerform physical and development assessments\nOrder appropriate diagnostic tests and labs\nDiagnose and treat health conditions\nManage the health care of those patients for which they have been educated to provide health teaching and counseling\nInitiate referrals as appropriate consulting with Supervising Physician\nComplete all documentation timely, efficiently and in its entirety\nMaintain health record and document all items required for Meaningful Use\nDaily responsibilities\nAccurately completes all patient notes within 48 hours\nForwards completed documentation to Supervising Provider for signature\nAll outpatient patient charges are entered at the end of each patient encounter\nAddresses and completes all patient tasks daily\nAssists supervising provider with completion of their tasks\nAssist with paperwork and forms as directed by the physician\nReturns patient calls as needed\nCompletes end of day process\nVerify all messages have been handled for the day\nEnsure tasks, labs, diagnostics have been reviewed and addressed as needed\nCommunicate with supervising physician any items that need to be addressed for the clinic\nLog off their work stations properly\n\n\nAdditional Responsibilities:\n\nProvides excellent customer service to his\u002Fher team, patients, and public\nMaintains an organized and clean work area\nPerforms other incidental and related duties as required and assigned\nAttends all meetings required by physician, hospitals, or Director\u002FAssociate Director\nAttends yearly Florida Medical Clinic Physician Conference\nParticipates in monthly CTT meetings\nConsults supervising provider as needed for client care\n\n\nPhysical and Mental Demands:\n\nNormal physical ability\nAbove average concentration and high level complexity of decision making\nHigh level verbal and written communication skills\nAbove average ability to manage multiple tasks simultaneously\nHigh tolerance to stressful situations\n\nOccupational Exposure:\n\nHigh risk exposure to bloodborne pathogens and chemical hazards\n\n Job Qualifications: Urgent Care experience preferred.\n\nLicensed APRN or PA\nExcellent interpersonal and communication skills\nStrong computer proficiency\nAbility to plan ahead, organize and manage multiple priorities",
